fiscal_year,category,summary_total,principals,spouses,children,derivatives,total,multiplier
2015,EB1,0,17166,13187,11335,24522,41688,2.429
2015,EB2,0,22261,14792,7291,22083,44344,1.992
2015,EB3,0,17731,11330,8003,19333,37064,2.09
2015,EB4,0,2477,1083,1819,2902,5379,2.172
2015,EB5,0,3590,2424,4159,6583,10173,2.834
2016,EB1,0,17692,13381,11789,25170,42862,2.423
2016,EB2,0,19579,12493,6786,19279,38858,1.985
2016,EB3,0,17126,10488,8313,18801,35927,2.098
2016,EB4,0,2095,983,1670,2653,4748,2.266
2016,EB5,0,3422,2229,4204,6433,9855,2.88
2017,EB1,0,16943,12964,11153,24117,41060,2.423
2017,EB2,0,19432,12690,7209,19899,39331,2.024
2017,EB3,0,18115,11307,8658,19965,38080,2.102
2017,EB4,0,2104,963,1696,2659,4763,2.264
2017,EB5,0,3508,2278,4088,6366,9874,2.815
2018,EB1,0,15932,12551,11031,23582,39514,2.48
2018,EB2,0,20011,13148,6936,20084,40095,2.004
2018,EB3,0,19087,11464,8673,20137,39224,2.055
2018,EB4,0,2394,1026,1736,2762,5156,2.154
2018,EB5,0,3363,2202,4056,6258,9621,2.861
2019,EB1,0,15674,12419,11378,23797,39471,2.518
2019,EB2,0,19834,12573,1247,13820,33654,1.697
2019,EB3,0,20739,11631,9417,21048,41787,2.015
2019,EB4,0,1989,887,1665,2552,4541,2.283
2019,EB5,0,3285,2076,3721,5797,9082,2.765
2020,EB1,47388,19283,14824,13281,28105,47388,2.458
2020,EB2,43666,22716,13453,7497,20950,43666,1.922
2020,EB3,43218,22683,11698,8837,20535,43218,1.905
2020,EB4,10704,2466,1015,1667,2682,5148,2.088
2020,EB5,3983,1532,955,1479,2434,3966,2.589
2021,EB1,61451,24809,19517,17097,36614,61423,2.476
2021,EB2,59834,30413,21922,7499,29421,59834,1.967
2021,EB3,54099,28699,15837,9563,25400,54099,1.885
2021,EB4,15315,1509,812,1575,2387,3896,2.582
2021,EB5,2639,1083,616,936,1552,2635,2.433
2022,EB1,53433,22236,17085,14112,31197,53433,2.403
2022,EB2,109081,54491,39856,14734,54590,109081,2.002
2022,EB3,79362,39829,21250,17377,38627,78456,1.97
2022,EB4,20526,2333,1301,2496,3797,6130,2.628
2022,EB5,7882,3454,1690,2733,4423,7877,2.281
2023,EB1,57140,22880,17420,16830,34250,57130,2.497
2023,EB2,55790,27760,17540,10490,28030,55790,2.01
2023,EB3,57310,27590,15340,14390,29730,57320,2.078
2023,EB4,14600,1930,910,1370,2280,4210,2.181
2023,EB5,11930,4450,2640,4810,7450,11900,2.674
2024,EB1,46990,19490,14270,13240,27510,47000,2.411
2024,EB2,46580,22370,14710,9510,24220,46590,2.083
2024,EB3,48550,22990,12890,12680,25570,48560,2.112
2024,EB4,14460,11750,1000,1710,2710,14460,1.231
2024,EB5,14540,5480,2990,6080,9070,14550,2.655
