Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of August 2025,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"71,930","82,886","10,550","2,389,683","1,952,870",14.8
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","13,409","5,758",664,"228,989","183,318",9.3
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"5,152","1,882",106,"95,630","61,691",14.9
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"13,748","2,784",190,"312,913","191,660",11.7
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"6,937","11,827","1,044","170,429","131,788",9.5
I-485,Application to Register Permanent Residence or Adjust Status (Family),"38,614","48,366","6,446","560,751","366,856",8.8
I-485,Application to Register Permanent Residence or Adjust Status (Other),"1,615","3,642",372,"52,364","45,318",19.8
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"7,975","2,333",80,"83,594","36,298",8.5
I-751,Petition to Remove Conditions on Residence,"11,815","9,466",222,"260,980","184,602",20.4
I-765,Application for Employment Authorization,"222,122","279,876","24,111","1,775,993","803,327",3.6
N-400,Application for Naturalization,"76,056","71,866","7,057","528,842","113,954",6.4
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried September 2025",,,,,,,
