Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of February 2025,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"84,355","51,220","8,434","2,384,024","1,889,486",18.4
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","9,035","6,659",533,"205,998","150,914",10.7
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"6,111","9,012",253,"73,067","38,546",11.6
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"24,385","10,984",298,"207,564","109,059",8.2
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"8,484","8,892","1,519","186,955","133,623",11.3
I-485,Application to Register Permanent Residence or Adjust Status (Family),"43,347","25,479","5,159","573,826","338,195",13.8
I-485,Application to Register Permanent Residence or Adjust Status (Other),"1,686","2,037",269,"57,676","47,633",19.2
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"6,617","6,846",187,"44,964","16,780",8.4
I-751,Petition to Remove Conditions on Residence,"15,152","9,705",353,"226,832","165,557",22.3
I-765,Application for Employment Authorization,"496,399","258,214","27,519","1,420,295","488,237",4.1
N-400,Application for Naturalization,"79,442","76,002","7,847","531,595","129,981",6.4
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried March 2025",,,,,,,
