Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of January 2026,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"53,732","58,916","4,746","2,354,209","2,003,555",16.1
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","11,671","5,328",565,"256,898","208,630",8.6
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"3,820",331,56,"110,442","84,603",25
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"7,086",15,4,"343,656","291,001",27.8
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"11,946","8,801",785,"216,923","133,677",9.5
I-485,Application to Register Permanent Residence or Adjust Status (Family),"31,504","23,847","3,578","543,218","392,910",9.1
I-485,Application to Register Permanent Residence or Adjust Status (Other),"3,013",931,203,"55,043","44,420",23.4
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"5,787",39,17,"117,813","70,949",22.7
I-751,Petition to Remove Conditions on Residence,"12,622","6,141",215,"282,125","212,360",24
I-765,Application for Employment Authorization,"177,289","133,580","13,025","1,678,637","1,128,924",4.2
N-400,Application for Naturalization,"46,385","32,862","4,970","630,860","198,235",7.8
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried February 2026",,,,,,,
