bulletin_month,category,country,final_action_date,date_of_filing,source
2022-10,EB-1,India,C,C,travel.state.gov
2022-10,EB-2,India,2012-04-01,2012-05-01,travel.state.gov
2022-10,EB-3,India,2012-04-01,2012-07-01,travel.state.gov
2022-11,EB-1,India,C,C,travel.state.gov
2022-11,EB-2,India,2012-04-01,2012-05-01,travel.state.gov
2022-11,EB-3,India,2012-04-01,2012-07-01,travel.state.gov
2022-12,EB-1,India,C,C,travel.state.gov
2022-12,EB-2,India,2011-10-08,2012-05-01,travel.state.gov
2022-12,EB-3,India,2012-06-15,2012-08-01,travel.state.gov
2023-01,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-01,EB-2,India,2011-10-08,2012-05-01,travel.state.gov
2023-01,EB-3,India,2012-06-15,2012-08-01,travel.state.gov
2023-02,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-02,EB-2,India,2011-10-08,2012-05-01,travel.state.gov
2023-02,EB-3,India,2012-06-15,2012-08-01,travel.state.gov
2023-03,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-03,EB-2,India,2011-10-08,2012-05-01,travel.state.gov
2023-03,EB-3,India,2012-06-15,2012-08-01,travel.state.gov
2023-04,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-04,EB-2,India,2011-01-01,2012-05-01,travel.state.gov
2023-04,EB-3,India,2012-06-15,2012-08-01,travel.state.gov
2023-05,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-05,EB-2,India,2011-01-01,2012-05-01,travel.state.gov
2023-05,EB-3,India,2012-06-15,2012-08-01,travel.state.gov
2023-06,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-06,EB-2,India,2011-01-01,2012-05-01,travel.state.gov
2023-06,EB-3,India,2012-06-15,2012-08-01,travel.state.gov
2023-07,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-07,EB-2,India,2011-01-01,2012-05-01,travel.state.gov
2023-07,EB-3,India,2009-01-01,2012-08-01,travel.state.gov
2023-08,EB-1,India,2012-01-01,2022-06-01,travel.state.gov
2023-08,EB-2,India,2011-01-01,2012-05-01,travel.state.gov
2023-08,EB-3,India,2009-01-01,2012-08-01,travel.state.gov
2023-09,EB-1,India,2012-01-01,2022-06-01,travel.state.gov
